src,target
13 9,13 3 5 7
20 18,8 10 20 6 18 14 12 16
14 13,1 8 2
17 20,0 3 4 6
4 8,8 4
2 5,2
5 4,5 4
9 19,0 9 0 0 9 0 0 0 0
6 17,1
13 20,34 48 69 13 27 20 62 55 41
1 1,3 1 1 4 2 1 2
5 10,40 5 25 15 10
10 14,4 2 2 0 0
2 1,2 4 4 6
8 8,8
8 6,8 2 6
14 13,8 1 2
13 7,13 47 21 20 24 27 7
1 6,1 6
10 8,26 10 18 8
13 2,15 2 17 49 32 13
17 14,45 17 14 31
14 16,14
12 15,21 15 12 18
2 3,10 9 4 5 3 7 2 6 8
6 1,6
10 9,5 7 10 6 8 3 4 9 2
15 18,18 15
12 2,38 2 8 12 58 18 28 48
20 9,31 31 20 2 2 20
19 3,3 9 1 3
11 9,9 11
20 16,12 12 8 4 16 0 4 8 20
17 16,7 2 4 6 7 7 3 0 3
9 19,39 19 29 49 9 69 59
4 17,4
19 18,3 8 1 9 0 1 0
17 15,7 4 5 3 4
1 7,8 1 0 9 8 1 7 9 0
16 9,34 47 2 16 43 9 45 25 9
2 11,2 4 2 1 3 4 8 8 0
11 12,3 1 2
20 15,0 1 1 0 5 1
11 9,1 9 1
10 1,8 8 19 10 19 10
20 3,3 14 65 48 20 31
5 6,3
7 18,5 8 7 2
4 4,4
19 18,4 2 5 3 3
3 19,3 3 1 1 9 3 1
5 3,5 3 1
14 4,5 4 3 4 0 4 5
16 15,10 15 13 11 12 14 16 9
9 8,7 9 8
15 11,1
16 1,1 7 6 2
4 13,4 3 4 2 3 2 5
9 6,9 7 6 36 21 15
17 9,17 1 23 15
18 12,18 12
14 12,6 10 4 14 0 8 2 12
9 19,9 0 9
5 17,39 11 17 5 22
5 2,2 5
20 17,6 2 0 3 4
5 2,2 4 1 7 5 10 13
19 4,7
2 1,3 2 1 5 4 4 2
6 8,4 8 4 8
16 20,16
3 12,12 3
20 17,0
14 13,1
8 5,4
2 18,66 14 18 34 82 2 50 98
7 14,7 28 14 21
16 9,5 4 1 5 4
19 5,6 0 5 9 1
2 2,4 8 7 2
6 8,18 34 6 10 28 40 22 30 16
16 5,21 16 26 5
16 7,2 3 1 1 3 2
11 2,2 11 13
7 2,1 2 7
8 3,8 1 3 6 0 3 1
12 14,14 16 18 12 20
15 18,15 30 21
10 17,4 5 3 7 8 0 4 5
15 10,15
16 12,0 6 1 1 2
5 14,2 14 19 33 5
16 11,6 16 11 1
5 20,4 0 3 5 5
14 18,2 2 5 7 4
3 19,3 19
17 13,2 6 3 1 4 2 8 5
16 14,12 16
11 18,1 8 3 1 9 0
18 8,0 0 8 0 0 8
19 2,36 19 19 15
16 13,0 6 3 2 3 3
8 14,14 20 38 8 26 32
13 16,16 13
13 7,2 9 1 0 4 1 2 3
2 11,2 47 20
15 3,4 4 5 3
11 16,16 11 43 27
2 20,46 20 26 6 20 42 22 2 14
13 19,25 43 13
8 9,2 1 5 8 3 2 4 9 4
10 20,10 10 30
1 20,1 0 1
10 16,40 10 46 8 26 22
17 14,21 26 47 45 17 14 31
7 14,13 42 49 21 41 7 34
15 20,3 0 0 0 0 0 0 0 0
4 3,1 2 3 3 2 4
10 7,24 17 15 7 10 41
10 8,6 8 10
20 9,24 2 20 9 13
2 6,6 2 2 2 2 2 2 2 2
15 20,15 25 40
4 15,36 26 25 42 4 20 9
9 5,4 5 4
13 6,6 13 19
20 6,20 34 8 20
14 9,9 4
16 13,0 2 6 0 3 3 3
14 4,24 6 24 6 24 14 14 14 6
12 13,14 12 18 20 17
2 20,0 2
15 4,26 15 15 7 26 7 15 7 26
15 14,14 15
9 17,23 45 49 25 47 5 9 21 7
16 15,0 1 6 4 5
8 13,1 0 4
1 9,1
3 17,3
7 8,8 7
17 7,17 24 7
17 4,4 17
7 5,12 7 17 29 5
17 7,17 7 3
11 11,11 11 11 11 11
1 5,4 0 2 1 2 5
17 16,15 12 17
14 4,6 4 16 14 26
18 15,8 5
5 16,5
16 17,16
15 12,16 5 21 12 39 27 15
14 9,21 6 4 1 9 11 26 14 16
4 4,0 4 0 0 0 4
2 4,6 2
12 15,30 27 18 36 12 45
8 11,0 9 23 44 8 41 14 32 26
1 7,17 37 13 1 23 31 49
5 20,5 35 20 65 50
2 14,2 26
4 16,52 40 76 0 64 28 16 88 4
19 10,0 1 0 1 2 9 1
2 13,0 3 2
17 15,5 9 5 2 9 1 7 7 1
4 11,18 4 25 11 32
11 3,3 1 1 2 2
13 4,6 2 3 5
2 5,1
15 13,9 1 5
9 1,1 10 9
20 5,35 20 10 20
17 17,0 7 4 8 3 7 2
7 9,8 9 5 7 6 3 4 6
2 20,2 38 20
9 4,4 9
8 19,5 7 2 4 9 1 1 6
1 1,4 5 4 3 5 3 1 2 2
16 6,16 16 4 4 26
6 18,6
15 20,0 0 0 0 3
16 6,16 6
11 11,1
13 5,3 21 13 13
4 12,4
19 12,9 16 5 16 9 19 5
10 18,10 28 18
6 18,30 16 28 6
3 8,3 5 2 1 8 4 5 6 3
20 17,37 20 17 4
10 6,10 2 6 6 2 10
6 4,6 4 2 6 4 2 0
2 14,14 2 26 50 38
7 9,7 11 9
10 20,0 0 0 0 0 0 0
15 9,15 15 3 3 9 15 3 9
9 11,19 15 9 11 23 21 17 25 13
7 6,6 4 5 2 3 4 7
20 11,11 2 7 20
5 12,19 40 11 47 5
3 7,23 3 11
13 15,19 21 27 13 17 25 15 23
5 20,35 25 35 20 0 15 45 20 5
15 3,15 10 21 3 39 18 49
10 4,0 4 2 2
18 6,6 18
15 9,15 9
14 18,26 22 14 18
1 15,5 1
3 17,3 44 17 37 20 7
11 11,11
11 13,23 15 17 13 19 25 21 11
19 8,9 7 8 4 6
16 14,6 4 2 2 5 5 7 3 4
7 14,8 9
16 9,16 25 9
11 16,11
14 10,10 34 8 24 42 14
10 18,8 1 9 0
12 3,12 12 12 6 21 6 6 21
17 19,3 7 3 9 1 1
12 12,0 2 2 2 4 0 4
13 17,25 17 33 21 37 41 13 29
15 2,15
4 1,5 5 1 0 4 6
9 9,9 15 17 21 11 20 23 14
16 6,9
15 11,5 1 6
13 17,3 7
3 10,23 13 10 3
3 9,3 9 3 5
9 15,33 9 45 21 51 27 39 15
10 5,10 0 0 0 15 15 10 10
10 9,5 4 9 0 5 2
16 16,28 44 16 16 32 48 8 36 30
2 1,7 18 1 4 3 2 11
11 11,11
4 4,3 8 2 6 1 7
16 13,8 2 0
7 19,1 7 9
13 7,8 0 3 5 7
18 2,18 2
2 8,4 2 0 4 2 8
13 1,1 3 0 2 2 1 1 2 0
16 17,17 18 19 16
2 18,46 4 20 18 2 38 8
7 9,7 4 3 9 0 0
19 20,23 21 20 24 19 22
2 14,2 26 12 24
2 17,2 17 36 19
10 15,10 15 0 20 35 40
9 11,9
16 19,43 4 19 39 16 32 35
13 18,38 13 43 3 23
6 6,2 6 6 2
19 14,6 9 19
3 8,8 49 19 30 3 11
20 11,0
13 4,23 4 5 13 14
2 16,3 4 9 7 6 5 2
12 6,2 6 0 6 5
9 13,21 13 9 17
7 13,3 7 2 4
17 16,7 9 2 2
9 5,15 9 7 3 11 1 5
10 9,2 5 0 5 9 4
4 4,9 12 15 16 4 6 10 18
18 18,0 0 8 8
4 10,0 4
4 9,34 14 4 29
20 11,25 20 43 2 16 34 7 11
8 18,4 6 4 6 0 0 8 8 1
6 9,24 39 15 15 13 9 2 6 17
1 7,7
8 4,2 5 4 3
10 10,10 10 10
3 7,5 3 5 7 3
16 5,5 1 1 6
12 1,1 2 2 1
10 14,10
14 19,0 5 2 9 5 4 6
2 8,18 2 8 28 46 10 24
3 18,5 4
14 8,22 30 32 2 14 34 8
17 10,17 18 11 3 11 18 3 3 18
3 13,45 16 29 24 43 19 3 13
20 3,3 48 31 14 20
12 4,12 4 12 4
8 19,7 4 9 6 8 8 7
20 10,10 20 40 30
12 4,4 4 12
1 3,11 5 23 13 1 17
19 7,26 42 9 19 7 1 33
6 17,23 17 6
18 1,8
2 3,4 5 6 3 2
18 7,18 7
6 14,4 8 8
3 8,8 18 23 28 13 3
8 10,0 8 0
14 9,2 9 4
9 2,13 11 2 9
2 14,6 4 2 0 8 2
6 13,13 27 34 20 41 6
9 2,16 9 16 5 5 9
1 10,1 0 2
19 2,3 9 5 4 8
14 12,8 6 1
12 1,2 1 2 1
3 6,6 3 0 1 2
17 14,17 31 21 14 47 45 18 26
20 19,20 15 18
17 17,2 3 4 8 7 7
11 8,1 11 5 4
12 15,11 42 12 15 19 30 27
7 20,7
6 14,20 6 14 38 42 34 4
15 17,2 5 5
17 10,15 16 17 14 10 37 27 1
5 1,5 3
8 10,16 8 14 12 10
18 8,0 8 0 0 0 0 8 0 0
3 14,3 17 14
1 17,9 4 3 1 8 2 7
1 9,9
2 2,6 16 26 2 42 10 2 4
4 14,24 4
16 14,16 14 44 30 24
5 4,4 5
4 1,2 4 7 2 4 7
10 14,38 12 24 14 10 0
8 13,34 44 27 39 5 13 33 8 21
3 5,5 8 3
16 7,2 7 38 56 29 11 16 47 20
6 1,6 1
20 1,0 1 0 2 2
4 14,6 6 5 7
6 3,1 1 1 8 8 1 8
4 17,43 30 56 4 17
13 19,19 37 13 25 31
12 1,23 10 12
18 9,9 18 0
12 8,8 12
3 1,3
11 14,1 4 2 4 1 4 2 1
9 5,3 1 5 9
10 6,14 6 2 10 2 10 6
12 3,12 21 6
17 15,5 3 7
8 6,0 2 8 0 4 2 4
2 4,2
18 10,8 8 0 1 0 0 8 8
3 11,49 19 41 3 43 17 1 15
4 10,26 2 38 4 20 40 34 16
4 4,12 9 16 6 10 4 15
9 2,13 11 2 11 9 24 37
6 3,8 1 1 8
1 13,11 25 1 47 23
9 4,9 1 16 4 21 6 11
11 18,32 11 60 25 53 18 46 39 67
15 3,3 9 15 21 33
4 2,2 1 8 0 0 9 1 9
3 18,33 48 63 3 18
8 12,1 1 3 8 2 3 8 8 7
14 5,14
14 10,14 24 34 0 8 42 10
1 12,7 4 3 1 5 2 7 3 2
20 9,8 1 0
8 16,24 8
18 1,1 1 1 1 8 8 8 8
12 11,23 11 12 34
4 12,4 12 20
12 18,3 8 2
7 7,12 7 13 9
1 4,7 1 4 10
18 10,0 2 8
4 4,4 4
10 18,28 24 10 18 20 46
15 4,29 7 15 62 51 73 4 40 18
16 16,16
19 10,1 19 17 1 26 1 26 17
17 19,19 17
20 2,16 38 20 38 20 20 16 16
9 15,3 1 3 5 5
10 12,40 34 6 10 22 12 46
12 12,12 12 12 12 12
14 15,4
17 9,17 1
15 14,3 4 9 10 15 7 13
9 1,1 10 32 21 9 11
5 15,5
1 6,7 8 8 7 9 9 6 0
16 4,8 16 16 28
11 13,11 24 48 11 37 13 9
11 2,1
16 7,2 47 11 38 56 20 16 7 29
12 12,24 12 12
18 17,13 18 16
13 10,2 13 1 5 1 7 4
9 8,8 25 17 17 9 42
4 11,4
16 6,6 6
2 18,7 9 6 0 5 3 8 2
1 8,26 12 8 9 31 17 19 1 43
19 15,9
8 4,8 12 8 4 16 4 0
7 16,16 23 7 27 1 39 13 12 14
4 9,6 3 4 7 5
1 12,12 1 45 56 67 23 34
5 8,20 14 5 29 11 26 17 8 23
5 3,1 3 1 5 5 5 3 5 1
9 11,9 9
5 19,47 75 5 61 33 19 89
15 10,5 0
16 5,6 16
16 9,1 4 5 4
3 19,3 41 19 22
6 16,9 6 6 9 6 9 9 6
13 19,13 49 19 37 31 25 43
18 9,12 27 13 9 18 11 36 49
1 20,12 21 20 1 41
15 18,1 39 48 30 21 7 33 15 16
14 4,14
9 1,9 1
1 8,1
6 3,6 3 12 9 21 33
9 7,9 1 12 13 16 23 39 7
7 4,41 8 11 17 26 7 4 15
5 15,5 25 5 15
14 15,14 15
16 3,3 4 6 2 3 7
4 1,7 4 2 4
4 20,20 52 4 36
8 14,1
8 7,8 5 6 7
6 15,14 10 32 5 1 24 6 28
3 15,13 27 35 25 3 47 49
5 20,5 5 0
9 1,9
6 16,6 6 26
4 8,0 4 8 4 4 0 4 4 0
8 10,2 0 0 8 2
15 5,20 15 5 20 45 25
20 11,5 4 5 0 1 0 0 1 2
9 11,11 13 9 23 15 21 17 19
9 13,7 7 1 1 1 7 1
20 1,0 1 0 2 2
20 10,0 20 10 20 10
4 19,4 2 3 9 3 4
